station,rmse,missing_data_frac
"Alipur, Delhi - DPCC",34.743270493331934,0.029566210045662067
"Anand Vihar, Delhi - DPCC",42.85166233011314,0.024200913242009126
"Ashok Vihar, Delhi - DPCC",33.5696860893229,0.04429223744292232
"Aya Nagar, Delhi - IMD",25.416300310865427,0.07328767123287672
"Bawana, Delhi - DPCC",41.381697213995984,0.014155251141552472
"Burari Crossing, Delhi - IMD",44.933489216850965,0.37385844748858443
"CRRI Mathura Road, Delhi - IMD",28.198190726907256,0.026255707762557035
"Chandni Chowk, Delhi - IITM",31.719579149526318,0.4848173515981735
"DTU, Delhi - CPCB",34.32068303837006,0.1844748858447488
"Dr. Karni Singh Shooting Range, Delhi - DPCC",27.257531699498493,0.013926940639269358
"Dwarka-Sector 8, Delhi - DPCC ",29.03468403912324,0.020205479452054753
"IGI Airport (T3), Delhi - IMD",26.39893820622707,0.020547945205479423
"IHBAS, Dilshad Garden, Delhi - CPCB",30.41314189150555,0.11255707762557077
"ITO, Delhi - CPCB",29.758742804546227,0.03493150684931512
"Jahangirpuri, Delhi - DPCC",45.43179960827813,0.031392694063926974
"Jawaharlal Nehru Stadium, Delhi - DPCC",26.42618185216049,0.05136986301369861
"Lodhi Road, Delhi - IITM",99.34633984398947,0.5270547945205479
"Lodhi Road, Delhi - IMD",21.778226267959486,0.030022831050228294
"Major Dhyan Chand National Stadium, Delhi - DPCC",28.89301806364889,0.022260273972602773
"Mandir Marg, Delhi - DPCC",27.222492191384283,0.048630136986301364
"Mundka, Delhi - DPCC",39.41333357254523,0.02442922374429224
"NSIT Dwarka, Delhi - CPCB",35.036253153017604,0.04977168949771693
"Najafgarh, Delhi - DPCC",23.744301798309138,0.07499999999999996
"Narela, Delhi - DPCC",36.128174759120654,0.03413242009132422
"Nehru Nagar, Delhi - DPCC",45.98724067778426,0.01666666666666672
"North Campus, DU, Delhi - IMD",32.32754451581561,0.03082191780821919
"Okhla Phase-2, Delhi - DPCC",28.70411226653881,0.00878995433789953
"Patparganj, Delhi - DPCC",30.885249169056472,0.03196347031963476
"Punjabi Bagh, Delhi - DPCC",37.26524423076225,0.03321917808219177
"Pusa, Delhi - DPCC",24.61272320014422,0.04292237442922375
"Pusa, Delhi - IMD",30.682895697155804,0.0775114155251142
"R K Puram, Delhi - DPCC",35.02042484315008,0.024315068493150682
"Rohini, Delhi - DPCC",36.47714531814177,0.006392694063926951
"Shadipur, Delhi - CPCB",35.887558672714306,0.049315068493150704
"Sirifort, Delhi - CPCB",32.93256814126168,0.07214611872146115
"Sonia Vihar, Delhi - DPCC",31.626480240544613,0.03242009132420087
"Sri Aurobindo Marg, Delhi - DPCC",23.035122682816798,0.026255707762557035
"Vivek Vihar, Delhi - DPCC",36.99373319614121,0.055365296803652986
"Wazirpur, Delhi - DPCC",36.272389435429886,0.0320776255707762
